Morph-Lemma,Morph-Inflection,Lemma-Priority,Inflection-Priority,Occurrence
obdobje,obdobje,274,720,659
komisija,komisija,376,721,659
delavec,delavcev,301,722,658
njihov,njihove,105,723,658
milijarda,milijarde,470,724,658
ukrep,ukrep,67,725,658
državen,državnega,155,726,658
današnji,današnji,362,727,655
trgovina,trgovine,319,728,655
storitev,storitev,518,729,654
potrebovati,potrebujejo,208,730,653
odločiti,odločili,224,731,652
poročati,poročajo,215,732,652
klub,kluba,220,733,652
vedeti,vem,143,734,651
hiša,hiše,280,735,650
položaj,položaj,387,736,649
dober,dobrih,64,737,649
komisija,komisije,376,738,647
teden,tednu,77,739,647
center,center,217,740,643
njihov,njihovih,105,741,643
želeti,želimo,89,742,642
moški,moški,386,743,642
se,seboj,4,744,641
stran,stran,121,745,641
gospodarstvo,gospodarstvo,396,746,640
sodelovanje,sodelovanje,385,747,636
prihodnji,prihodnjih,191,748,636
konferenca,konferenci,595,749,635
prepričan,prepričan,515,750,634
se,sebi,4,751,632
medij,medijev,329,752,632
projekt,projekta,202,753,630
priti,pride,102,754,629
pet,petih,175,755,629
vlada,vladi,69,756,629
bistveno,bistveno,1044,757,628
opozarjati,opozarja,330,758,628
žival,živali,817,759,625
služba,službe,338,760,625
pripraviti,pripravili,337,761,624
vlada,vlado,69,762,623
ostati,ostal,167,763,623
sprva,sprva,1061,764,622
poročanje,poročanju,867,765,621
on,njo,10,766,620
prostor,prostora,156,767,620
skrbeti,skrbi,537,768,618
delovanje,delovanje,481,769,618
kakšen,kakšno,166,770,617
misliti,mislim,510,771,616
cesta,cesti,276,772,615
včasih,včasih,1074,773,614
mesec,mesecev,116,774,613
življenje,življenju,118,775,613
starš,starši,425,776,612
hrana,hrane,474,777,611
ukc,ukc,1076,778,610
dokler,dokler,1077,779,609
devet,devet,674,780,607
zajezitev,zajezitev,937,781,606
sodišče,sodišča,228,782,606
preteklost,preteklosti,869,783,606
mnog,mnogi,556,784,601
otrok,otroka,93,785,601
družba,družba,174,786,601
različen,različne,219,787,601
javen,javni,110,788,601
delo,delu,63,789,600
zunaj,zunaj,1097,790,599
informacija,informacije,361,791,599
zgodovina,zgodovini,514,792,599
aktivnost,aktivnosti,731,793,598
èas,èasu,381,794,598
pomoč,pomočjo,148,795,597
naslednji,naslednji,284,796,597
predvidoma,predvidoma,1099,797,597
promet,prometa,363,798,596
dodati,dodala,149,799,594
njen,njeno,124,800,594
mesec,meseca,116,801,593
popoldne,popoldne,1106,802,592
oprema,opremo,307,803,592
direktor,direktorja,286,804,592
oseba,oseba,147,805,591
vrniti,vrnil,262,806,591
potrditi,potrdil,115,807,591
vozilo,vozila,358,808,591
vrh,vrhu,448,809,590
program,program,331,810,589
navedba,navedbah,823,811,589
primerjava,primerjavi,850,812,588
primer,primerih,72,813,588
ti,ti,136,814,587
vprašanje,vprašanja,194,815,587
vrsta,vrste,210,816,586
ekipa,ekipo,178,817,586
dvakrat,dvakrat,1116,818,586
problem,problem,633,819,586
strokovnjak,strokovnjaki,589,820,586
stoletje,stoletja,821,821,586
človek,človek,46,822,585
center,centru,217,823,585
obstajati,obstaja,630,824,584
nazadnje,nazadnje,1120,825,583
tekmovanje,tekmovanja,423,826,582
potrebovati,potrebuje,208,827,581
priti,prišla,102,828,581
roka,rok,238,829,581
nba,nba,1124,830,581
imeti,imam,20,831,580
zame,zanj,360,832,577
prihajati,prihaja,487,833,577
vrsta,vrsti,210,834,575
rešitev,rešitve,461,835,573
predstavnik,predstavniki,517,836,572
testiranje,testiranje,532,837,572
prvak,prvaka,272,838,572
njihov,njihovi,105,839,571
videti,videli,171,840,569
dz,dz,1145,841,569
se,sebe,4,842,568
bolnišnica,bolnišnicah,173,843,568
on,ju,10,844,567
njen,njenih,124,845,567
daleč,daleč,1027,846,567
boj,boj,421,847,567
omogočati,omogoča,657,848,567
meja,meji,195,849,567
okrog,okrog,1149,850,567
prejeti,prejel,294,851,566
pričakovati,pričakujejo,236,852,566
večina,večino,235,853,564
mesto,mestih,68,854,564
skupen,skupno,233,855,563
posledica,posledic,267,856,561
epidemija,epidemija,108,857,561
bolezen,bolezen,186,858,561
vrednost,vrednost,561,859,559
klub,klub,220,860,559
tisti,tisto,97,861,558
cesta,ceste,276,862,558
dejanje,dejanja,408,863,557
prvenstvo,prvenstvo,306,864,557
znotraj,znotraj,1175,865,556
želeti,želeli,89,866,556
imeti,imeti,20,867,556
šola,šoli,153,868,555
delavec,delavci,301,869,554
moč,moč,500,870,554
boj,boju,421,871,554
sprejeti,sprejela,245,872,552
družina,družino,211,873,552
volitev,volitve,444,874,550
minuta,minuti,246,875,550
republika,republike,969,876,550
evropski,evropskega,98,877,550
šport,šport,450,878,550
začetek,začetek,160,879,549
pravica,pravice,400,880,549
ves,vso,18,881,549
tekma,tekmah,84,882,547
dodajati,dodaja,795,883,547
pomemben,pomemben,122,884,545
vrniti,vrnili,262,885,543
dejstvo,dejstvo,696,886,543
zagotoviti,zagotoviti,325,887,543
zavod,zavoda,374,888,543
kakor,kakor,1193,889,543
pojasniti,pojasnila,192,890,543
občina,občina,189,891,543
storitev,storitve,518,892,542
smer,smeri,772,893,540
vedeti,vemo,143,894,540
odločiti,odločil,224,895,539
gospodarstvo,gospodarstva,396,896,537
cena,cene,380,897,537
pravzaprav,pravzaprav,1206,898,537
zaščita,zaščite,498,899,534
meja,meja,195,900,533
vedeti,ve,143,901,533
vrsta,vrsto,210,902,533
nekdo,nekdo,836,903,532
mlad,mladi,212,904,532
igrati,igral,285,905,531
mask,mask,1221,906,531
dober,dobra,64,907,530
kar,česar,36,908,530
krog,krogu,442,909,530
vrednost,vrednosti,561,910,529
dogodek,dogodek,244,911,528
