Morph-lemma,Morph-inflection
köra,kör
New,New
köpa,köper
final,finalen
förlora,förlorade
månad,månaden
allvar,allvar
utveckla,utveckla
system,system
projekt,projekt
land,länderna
parti,partierna
tvinga,tvingades
åtminstone,åtminstone
tro,trodde
agera,agera
leda,ledde
majoritet,majoritet
mil,mil
sitta,sitta
kr,kr
undvika,undvika
politisk,politisk
vare,vare
statlig,statliga
bok,bok
möjlighet,möjligheten
global,globala
guld,guld
digital,digitala
peter,Peter
stad,städer
film,filmen
siffra,siffror
höja,höja
försäljning,Försäljningen
absolut,absolut
spår,spår
halv,halv
personal,personalen
pris,priser
varken,varken
försöka,försökt
nationell,nationella
svensk,svenskar
östra,östra
dålig,sämre
skola,Ska
någon,Några
minska,minskat
köpa,köpte
skydda,skydda
privat,privata
boll,bollen
däremot,Däremot
ingenting,ingenting
elva,elva
senast,senast
TT,TT
Ukrau,Ukraina
ung,ung
grupp,gruppen
sjukdom,sjukdom
befolkning,befolkningen
matcher,matcher
region,regioner
nuläg,nuläget
vända,vända
lösning,lösning
vanlig,vanliga
ålder,ålder
bild,bilden
bostad,bostäder
funnits,funnits
uppmana,uppmanar
insats,insatser
växa,växer
åter,åter
lägga,lagt
a,a
IK,IK
rösta,rösta
skydd,skydd
hit,hit
söka,söka
Socialdemokraterna,Socialdemokraterna
skott,skott
mark,marken
lösning,lösningar
hjälpa,hjälper
spännande,spännande
forskare,forskare
all,Allt
resultat,resultatet
besluta,beslutat
utredning,utredningen
investering,investeringar
miljon,miljon
undersökning,undersökning
påverka,påverkas
fordon,fordon
militär,militär
togs,togs
genomföra,genomföra
ställa,ställs
årsskifte,årsskiftet
torsdag,torsdag
svår,svårare
ledning,ledning
hemmaplan,hemmaplan
driva,driva
räddningstjänst,räddningstjänsten
produkt,produkter
politisk,politiskt
politik,politiken
åka,åker
bolag,bolagets
fart,fart
växa,växa
förlust,förlust
delta,delta
grov,grov
kalla,kalla
fin,fina
stärka,stärka
takt,takt
hamna,hamnade
utgöra,utgör
varje,Varje
makt,makten
gemensam,gemensamma
nöjd,nöjd
AB,AB
du,ditt
öppen,öppen
insats,insats
hända,hända
satsa,satsa
tid,tider
brist,brist
otrolig,otroligt
annorlunda,annorlunda
kostnad,kostnader
utbildning,utbildning
Min,Min
någonting,någonting
undan,undan
känd,känt
fort,fort
sist,sist
innehålla,innehåller
göra,göras
bekräfta,bekräftar
värde,värde
tips,tips
minut,minuten
Dagens,Dagens
hitta,hittar
slag,slag
fråga,Frågan
rapport,rapporten
bok,boken
linje,linje
morgon,morgonen
hitta,hittat
illa,illa
karriär,karriär
serien,serien
nära,närmaste
styrka,styrkor
slå,slagit
halvlek,halvlek
ensam,ensam
behöva,behövde
rolig,roligt
typ,typ
programm,programmet
känd,kända
planera,planerar
köp,köp
erbjuda,erbjuder
mord,mordet
lätt,lättare
kinesisk,kinesiska
klara,klarar
samman,samman
pengar,pengarna
säker,säkra
regel,regler
tänka,tänkt
misshandel,misshandel
david,David
varna,varnar
både,Både
EM,EM
lägenhet,lägenhet
därefter,Därefter
somras,somras
ovanlig,ovanligt
erbjuda,erbjuda
utrikesminister,utrikesminister
ge,ges
kalla,kallad
lokal,lokal
tillväxt,tillväxt
starta,starta
spansk,spanska
ljus,ljus
folk,folket
inleda,inleddes
förutom,Förutom
sakna,saknas
inflation,inflation
effekt,effekt
mängd,mängder
väst,väst
byta,byta
